2024-05-30 14:42:49 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 14:42:49 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 14:42:49 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.869 seconds (process running for 3.831)
2024-05-30 14:48:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 14:48:53 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 3176 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 14:48:53 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 14:48:56 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 14:48:56 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 14:48:56 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 14:48:56 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.814 seconds (process running for 3.765)
2024-05-30 14:49:20 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 14:49:20 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 19488 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 14:49:20 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 14:49:22 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 14:49:22 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 14:49:22 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-30 14:49:22 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 2.758 seconds (process running for 3.711)
2024-05-30 14:49:22 [main] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.multipart.support.MissingServletRequestPartException: Required part 'file' is not present.]
2024-05-30 14:50:45 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
